지역구,주간인구지수,인구밀도,코로나 확진자 수,"면적 당 숙박, 음식점 등 시설 현황",집단 발생 연관성
부안군,103.1,106.6125246,0,28.43751058,0
목포시,91,4420.294211,9,16.79672725,7
여수시,102.5,550.5314366,4,16.79672725,0
순천시,95.2,308.5293433,3,16.79672725,0
나주시,117.1,188.1044998,1,16.79672725,0
광양시,104.8,328.2708102,4,16.79672725,0
담양군,110.5,101.1773037,0,16.79672725,0
곡성군,117.5,51.76624463,0,16.79672725,0
구례군,103.4,58.2650054,0,16.79672725,0
고흥군,102,79.68767574,0,16.79672725,0
보성군,103.6,61.65176427,1,16.79672725,0
화순군,98.7,79.61034676,1,16.79672725,0
해남군,103.6,67.35479534,0,16.79672725,0
영암군,138.6,88.5899829,3,16.79672725,0
무안군,105.3,181.4934742,2,16.79672725,0
함평군,107.3,82.5265475,1,16.79672725,0
영광군,105.2,112.5920206,1,16.79672725,0
장성군,112.6,87.1967412,0,16.79672725,0
완도군,101,126.5532347,0,16.79672725,0
진도군,102.1,69.21199487,0,16.79672725,0
신안군,105.9,60.37412031,0,16.79672725,0
포항시,99.1,446.4061202,54,23.9989612,47
경주시,106.9,191.5382353,56,23.9989612,49
김천시,102.5,139.2909917,19,23.9989612,16
안동시,99.5,104.1493918,55,23.9989612,48
구미시,106.4,678.4957749,78,23.9989612,68
영주시,99.4,155.2228923,6,23.9989612,1
영천시,110.4,110.5308214,43,23.9989612,37
상주시,102.3,78.26789555,16,23.9989612,14
문경시,99.7,78.61199073,3,23.9989612,0
경산시,116.3,638.8017376,639,23.9989612,148
군위군,112.8,38.17788089,6,23.9989612,1
의성군,104.4,44.38782959,43,23.9989612,40
청송군,107.5,29.81673319,2,23.9989612,0
영양군,103.1,20.53070361,2,23.9989612,0
영덕군,104.1,49.54209978,2,23.9989612,0
청도군,106.8,61.32984421,142,23.9989612,119
고령군,116.6,82.70799042,10,23.9989612,7
성주군,119.7,70.58577222,22,23.9989612,18
칠곡군,104.7,255.7941001,51,23.9989612,39
예천군,103.7,84.28387363,43,23.9989612,40
봉화군,105.9,26.47581882,71,23.9989612,68
울진군,103.2,49.33556086,1,23.9989612,0
울릉군,100,126.717748,0,23.9989612,0
진주시,96.3,487.4209198,12,27.87191441,10
통영시,96.4,540.8066378,1,27.87191441,0
사천시,104,278.8852059,3,27.87191441,0
김해시,99,1171.354644,21,27.87191441,18
밀양시,102.1,131.6408823,5,27.87191441,0
거제시,107.1,612.6209241,18,27.87191441,15
양산시,100.9,724.0982427,12,27.87191441,10
창원시,99.8,1390.679821,35,27.87191441,21
의령군,106.8,55.82403695,1,27.87191441,0
함안군,119.5,155.360056,2,27.87191441,0
창녕군,105.7,116.0290605,12,27.87191441,4
남해군,102.2,120.5534773,1,27.87191441,0
하동군,104.9,67.27803196,0,27.87191441,0
산청군,106.1,44.22621352,1,27.87191441,0
함양군,101.8,54.20197021,1,27.87191441,0
거창군,101,76.78436066,19,27.87191441,10
합천군,103.3,45.26300294,10,27.87191441,5
제주특별자치도,100,362.8634778,26,30.72689799,4
